Name,Cases,Location
Four Mile Correctional Center,439,"Cañon City, Colo."
John J. Moran prison,439,"Cranston, R.I."
Ellis Unit prison,439,"Huntsville, Texas"
Southern Ohio Correctional Facility,437,"Lucasville, Ohio"
Ashland federal prison,437,"Ashland, Ky."
Western Kentucky Correctional Complex,436,"Fredonia, Ky."
Larned Correctional Mental Health Facility,435,"Larned, Kan."
Westmoreland County jail,434,"Greensburg, Pa."
Allen Oakwood Correctional Institution,433,"Lima, Ohio"
Darrington Unit prison,433,"Rosharon, Texas"
Central Florida Reception Center prison,431,"Orlando, Fla."
Connally Unit prison,431,"Kenedy, Texas"
Corrigan-Radgowski Correctional Center,430,"Uncasville, Conn."
Segovia Unit prison,429,"Edinburg, Texas"
Canaan federal prison,428,"Waymart, Pa."
Bay Correctional Facility,427,"Panama City, Fla."
Henrico County Regional Jail West,425,"Henrico, Va."
El Paso ICE Service Processing Center,425,"El Paso, Texas"
North Fork Correctional Center,424,"Sayre, Okla."
North Central Correctional Facility,423,"Rockwell City, Iowa"
Walton Correctional Institution,422,"DeFuniak Springs, Fla."
Eloy ICE facility,422,"Eloy, Ariz."
Chillicothe Correctional Center,421,"Chillicothe, Mo."
Western Correctional Institution,420,"Cumberland, Md."
Rockville Correctional Facility,418,"Rockville, Ind."
Hartford Correctional Center,417,"Hartford, Conn."
Milwaukee County jail,416,"Milwaukee, Wis."
Pelican Bay State Prison,415,"Crescent City, Calif."
Mansfield Correctional Institution,413,"Mansfield, Ohio"
Arrowhead Correctional Center,412,"Cañon City, Colo."
South Florida Reception Center prison,411,"Doral, Fla."
Estes Unit prison,411,"Venus, Texas"
Marianna federal prison,411,"Marianna, Fla."
Carl Robinson Correctional Institution,410,"Enfield, Conn."
Cheshire Correctional Institution,410,"Cheshire, Conn."
Bluebonnet ICE facility,408,"Anson, Texas"
Gilmer federal prison,408,"Glenville, W.Va."
State Correctional Institution at Huntingdon,406,"Huntington, Pa."
Lehigh County jail,406,"Allentown, Pa."
Cross City Correctional Institution,399,"Cross City, Fla."
Homestead Correctional Institution,399,"Homestead, Fla."
Marion Correctional Institution,397,"Ocala, Fla."
